Group,Code,Experiment,Stem,Mesocotyl,Coleoptile,FPL,FPLCol,PR,ARCN,SR,BreakCol,RDSD
Teocinte,Teo2,15L,23.1,12.8,1.9,10.3,8.4,1.8,0,0,1,16.7
Teocinte,Teo2,15L,24.5,13.5,3.2,11,7.8,1.3,0,0,1,18.7
Teocinte,Teo2,15L,21.1,10,7.1,11.1,4,2.1,1,0,1,19.1
Teocinte,Teo2,15L,21,9.3,4.7,11.7,7,3.5,0,0,1,16
Teocinte,Teo2,15L,25.4,13,3.1,12.4,9.3,1.8,0,0,1,18.1
Teocinte,Teo2,15L,23.9,11.4,3,12.5,9.5,1.8,0,0,1,16.4
Teocinte,Teo2,15L,26.5,13.3,3.5,13.2,9.7,2.4,0,0,1,18.8
Teocinte,Teo2,15L,19.9,6.5,4.7,13.4,8.7,3,0,0,1,13.2
Teocinte,Teo2,15L,27.5,10.5,4.5,17,12.5,6.3,1,0,1,17
Teocinte,Teo2,15L,35.5,17.8,3,17.7,14.7,1.5,0,0,1,22.8
Teocinte,Teo2,15L,21.7,13.5,3.6,18.2,14.6,3,0,0,1,19.1
Teocinte,Teo2,15L,24.5,4.8,10,19.7,9.7,1.7,0,0,1,16.8
Teocinte,Teo2,15L,36.6,16,2.8,20.6,17.8,2.3,0,0,1,20.8
Teocinte,Teo2,15L,30.5,8.3,3.6,22.2,18.6,10.2,1,0,1,13.9
Teocinte,Teo2,15L,24.9,15,4.3,27.9,23.6,3,0,0,1,21.3
Teocinte,Teo2,15L,42.9,13.5,5.9,29.4,23.5,3.9,0,0,1,21.4
Teocinte,Teo2,15L,15.7,7.7,8,8,0,3.7,0,0,0,15.7
Teocinte,Teo2,15L,11.7,5.2,6.5,6.5,0,1.5,1,0,0,11.7
Teocinte,Teo2,15L,8.8,6.3,2.5,2.5,0,3.5,0,0,0,8.8
Teocinte,Teo2,15L,1.9,1,0.9,0.9,0,10,0,0,0,1.9
