Code,Stem,Mesocotyl,Coleoptile,FPL,FPLCol,PR,RDSD,BreakCol,ARCN,SR
M32,24.92,12.96,7.96,11.96,4,16.3,16.73,70.83,0.92,2.42
M33,26.43,13.87,6.76,12.55,5.79,12.72,16.28,89.74,1.56,1.97
M35,22.24,11.33,7.8,10.91,3.11,12.76,14.52,76.32,1,2.11
M36,23.88,12.38,6.8,11.5,4.7,18.03,15.25,84,0.96,1.88
M37,17.77,7.29,6.26,10.48,4.22,14.79,10.29,72,0.44,2.6
M40,26.57,13.7,6.57,12.88,6.3,15.76,16.19,88.57,0.77,3.4
M41,21.5,11.59,5.08,9.91,4.83,9.74,14.14,84.38,0.28,1.97
M42,23.69,13.39,5.56,10.3,4.74,13.11,16.71,68.18,0.55,2.5
M44,21.36,12.76,5.09,8.6,3.51,14.61,16.28,57.89,0.21,2
M45,23.25,10.65,5.64,12.6,6.96,10.53,12.85,91.18,1,1.65
M47,14.35,5.93,5.11,8.42,3.32,6.56,8.41,68.42,1.34,1.79
M48,29,12.62,7.78,16.38,8.59,15.34,15.48,78.95,1.71,3.29
M49,22.07,10.98,6.58,11.09,4.51,19.33,13.74,77.78,1,2.07
M52,20.31,13.93,5.07,5.73,1.1,9.1,18.05,35.9,0.03,2.73
IH1,19.45,9.18,5.82,10.28,4.45,11.47,11.83,79.31,1.1,2.48
IH2,17.26,8.59,6.52,8.67,2.14,10.28,13.34,48,1.56,1.6
IH3,25.33,12.51,5.8,12.82,7.02,15.34,14.6,97.56,1.78,2.05
IH4,24.51,12.93,5.96,11.58,5.62,14.93,15.26,87.18,0.82,1.95
IH5,16.21,9.19,5.5,7.03,1.53,9.91,12.56,62.96,0.48,1.81
IH6,15.12,7.13,6.39,7.99,1.6,11.92,11.24,55.26,0.84,2.16
IH7,14.31,6.85,5.92,7.46,1.55,7.68,10.08,67.5,1.13,2
IH8,19.96,9.54,5.52,10.41,4.89,11.47,12.34,75,1.17,2
IH9,17.08,7.66,5.85,9.42,3.57,12.31,10.88,69.23,0.85,1.96
IH17,18.77,10.44,4.13,8.33,4.19,9.92,12.49,97.22,0.72,1.97
IH18,21.12,11.23,6.22,9.89,3.67,13.48,15.04,66.67,0.5,2.2
IH19,19.92,11.85,5.87,8.07,2.2,12.06,15.64,62.86,0.11,2.17
IH20,22.92,13.95,5.2,8.97,3.77,14.87,16.54,76,0.36,1.88
IH21,19.99,12.54,6.41,7.45,1.03,10.94,17.22,42.86,0.34,1.46
IH22,21.48,9.63,5.09,11.86,6.77,18.48,11.92,87.88,1.45,1.64
IH23,17.19,8.79,5.21,8.41,3.19,11.93,12.14,55.88,0.56,2.12
IH24,22.78,13.34,6.52,9.44,2.92,15.25,16.13,84.44,1.62,2.04
IH25,19.38,9.34,5.48,10.04,4.56,11.05,11.64,92.86,1.14,1.86
IH26,17.35,7.45,6.53,9.89,3.36,12.14,10.26,84.21,0.66,1.97
