Group,Code,Name,SubSp,Altitude,n,Stem,Mesocotyl,Coleoptile,FPL,FPLCol,PR,ARCN,SR,BreakCol,RDSD
Teosinte,Teo12,Teo12 Z. mays ssp. parviglumis,Z. parviglumis,581,39,24.92,15.9,4.99,9.02,4.02,1.87,0,0,89.74,18.17
Teosinte,Teo13,Teo13 Z. mays ssp. parviglumis,Z. parviglumis,1251,40,23.98,17.35,3.32,6.63,3.32,1.89,0,0,80,19.43
Teosinte,Teo14,Teo14 Z. mays ssp. parviglumis,Z. parviglumis,504,39,20.31,12.14,3.61,8.17,4.56,2.37,0,0,84.62,14.18
Teosinte,Teo15,Teo15 Z. mays ssp. parviglumis,Z. parviglumis,976,41,26.27,16.41,3.89,9.86,5.97,1.83,0,0,97.56,18.41
Teosinte,Teo16,Teo16 Z. mays ssp. parviglumis,Z. parviglumis,1140,37,25.36,14.23,4.43,11.13,6.7,2.11,0,0,97.3,16.24
Teosinte,Teo17,Teo17 Z. mays ssp. parviglumis,Z. parviglumis,944,34,19.8,12.47,4.87,7.33,2.46,2.49,0,0,52.94,15.71
Teosinte,Teo18,Teo18 Z. mays ssp. parviglumis,Z. parviglumis,1369,43,21.93,11.64,5.11,10.29,5.18,3.37,0,0,90.7,13.74
Teosinte,Teo19,Teo19 Z. mays ssp. parviglumis,Z. parviglumis,1094,37,24.02,16.18,4.43,7.84,3.41,2.25,0,0,81.08,18.45
Teosinte,Teo2,Teo2 Z. mays ssp. mexicana,Z. mexicana,2446,70,19.43,14.21,4.33,5.51,1.29,2.66,0,0.028571429,25.71,16.99
Teosinte,Teo21,Teo21 Zea ssp.,Z. sp,1649,42,27.05,18.31,4.92,8.74,3.82,2.42,0,0,71.43,21.25
Teosinte,Teo22,Teo22 Zea ssp.,Z. sp,1664,40,26.05,18.77,3.83,7.28,3.45,1.97,0,0,90,20.87
Teosinte,Teo24,Teo24 Z. diploperennis,Z. diploperennis,947,26,16.19,10.41,3.42,5.78,2.36,2.11,0,0,84.62,12.38
Teosinte,Teo25,Teo25 Z. mays ssp. huehuetenanguensis,Z. huehuetenanguensis,1522,12,21.38,12.43,3.78,8.95,5.18,2.24,0,0,91.67,14.48
Teosinte,Teo3,Teo3 Z. mays ssp. mexicana,Z. mexicana,1854,35,25.49,16.16,4.19,9.33,5.14,2.66,0,0,91.43,18.29
Teosinte,Teo4,Teo4 Z. mays ssp. mexicana,Z. mexicana,2176,38,16.86,12.16,3.89,4.7,0.81,2.99,0,0,28.95,15.21
Teosinte,Teo5,Teo5 Z. mays ssp. mexicana,Z. mexicana,2581,35,22.19,16.99,3.97,5.2,1.23,3.05,0,0,34.29,19.53
Teosinte,Teo6,Teo6 Z. mays ssp. mexicana,Z. mexicana,2002,42,28.94,19.85,4.19,9.09,4.9,3.3,0,0,85.71,22.18
Teosinte,Teo7,Teo7 Z. mays ssp. mexicana,Z. mexicana,2646,29,15.45,11.94,3.21,3.5,0.3,3.42,0,0,31.03,14.38
Teosinte,Teo8,Teo8 Z. mays ssp. mexicana,Z. mexicana,2375,36,25.62,19.98,4.84,5.64,0.8,3.01,0,0,22.22,24.11
Teosinte,Teo9,Teo9 Z. mays ssp. mexicana,Z. mexicana,2447,34,26.34,19.04,5.51,7.3,1.79,2.56,0,0,50,22.86
Tripsacum,Trip1,NA,NA,990,5,13.86,12.34,1.52,1.52,0,3.9,0,0,0,13.86
Tripsacum,Trip10,NA,NA,797,16,15.19,13.59,1.59,1.59,0,1.93,0,0,0,15.19
Tripsacum,Trip11,NA,NA,325,1,17.1,15.2,1.9,1.9,0,4.2,0,0,0,17.1
Tripsacum,Trip12,NA,NA,1880,1,16.4,14.6,1.8,1.8,0,1.6,0,0,0,16.4
Tripsacum,Trip2,NA,NA,615,20,13.63,12.42,1.21,1.21,0,1.69,0,0,0,13.63
Tripsacum,Trip3,NA,NA,1113,5,11,8.74,1.7,1.7,0,3.28,0,0,0,11
Tripsacum,Trip4,NA,NA,1380,13,8.35,7.23,1.06,1.06,0,2.99,0,0,0,8.35
Tripsacum,Trip5,NA,NA,1380,17,9.45,8.11,1.34,1.34,0,3.12,0,0,0,9.45
Tripsacum,Trip7,NA,NA,560,13,10.94,9.98,0.96,0.96,0,3.38,0,0,0,10.94
Tripsacum,Trip8,NA,NA,1100,5,6.54,5.82,0.72,0.72,0,2.36,0,0,0,6.54
Tripsacum,Trip9,NA,NA,935,11,16.92,15.25,1.67,1.67,0,2.33,0,0,0,16.92
